finca_id,abandon_score,activity_status,median_ndvi,std_deviation,cv_percent,valid_periods
finca_00049,85.0,inactive,0.24549799711134662,0.07585936020471123,30.9,12
finca_00050,100.0,potential,0.3015436079283824,0.09019979229671425,29.9,12
finca_00051,107.2,potential,0.33314415614072446,0.04555748174578054,13.7,12
finca_00052,85.0,inactive,0.2834479652765262,0.05020178031520499,17.7,13
finca_00053,85.0,inactive,0.21735062308887565,0.039094771354441706,18.0,10
finca_00054,85.0,inactive,0.25900703955589116,0.04437509878098326,17.1,12
finca_00055,85.0,inactive,0.19103555989526366,0.021041569246100917,11.0,12
finca_00056,85.0,inactive,0.2420699490889134,0.04141813155216351,17.1,13
finca_00057,85.0,inactive,0.20809913737074245,0.04941325239956385,23.7,11
finca_00058,85.0,inactive,0.19430179831323946,0.07610603199636366,39.2,11
finca_00059,85.0,inactive,0.15377861312475935,0.048490366642057386,31.5,11
finca_00060,85.0,inactive,0.15837467817211032,0.02621637865817485,16.6,13
finca_00061,85.0,inactive,0.12038694765596185,0.012725185649871563,10.6,13
finca_00062,85.0,inactive,0.20312717183521156,0.027455683613409474,13.5,12
finca_00063,85.0,inactive,0.227452208193289,0.0403592543649756,17.7,12
finca_00064,85.0,inactive,0.2647614980864877,0.043547422610765295,16.4,13
finca_00065,85.0,inactive,0.2616132440102639,0.07013750583620512,26.8,13
finca_00066,85.0,inactive,0.2758245141629275,0.04907503237595032,17.8,13
finca_00067,113.9,potential,0.3177809229216859,0.05217879605351941,16.4,13
finca_00068,85.0,inactive,0.2332984238019712,0.03675955904438094,15.8,13
finca_00069,85.0,inactive,0.2711502566006927,0.05585535443371882,20.6,13
finca_00070,124.6,potential,0.30964168999401775,0.030840042845309137,10.0,13
finca_00071,128.6,potential,0.30143598149230655,0.022854354227065495,7.6,13
finca_00072,85.0,inactive,0.19383802815271375,0.010262315999038355,5.3,13
finca_00073,85.0,inactive,0.2638623589449857,0.04112970761560869,15.6,13
finca_00074,85.0,inactive,0.25348640593263316,0.0438138575227821,17.3,13
finca_00075,85.0,inactive,0.24875722305518855,0.06928280445987844,27.9,13
finca_00076,85.0,inactive,0.22883999970571345,0.14336275355237812,62.6,13
finca_00077,98.3,potential,0.32667966957818817,0.04341104229379766,13.3,13
finca_00078,85.0,inactive,0.19192913725928176,0.0260704388681414,13.6,13
finca_00079,120.8,potential,0.3021546186609754,0.03848227612068669,12.7,13
finca_00080,85.0,inactive,0.2016330302110924,0.05102377006397052,25.3,12
finca_00081,85.0,inactive,0.16242175103162498,0.08271813754104562,50.9,11
finca_00082,85.0,inactive,0.24804506257982026,0.050754757165184725,20.5,12
finca_00083,85.0,inactive,0.22794516412652807,0.09005809144943973,39.5,12
finca_00084,85.0,inactive,0.16890372101099962,0.11026133541700323,65.3,11
finca_00085,85.0,inactive,0.23817066081458824,0.05529023040676353,23.2,12
finca_00086,85.0,inactive,0.2763116412978963,0.042399855549515315,15.3,13
finca_00087,85.0,inactive,0.2646849017869915,0.03269583715240106,12.4,13
finca_00088,85.0,inactive,0.27057585764755554,0.09301400240301455,34.4,13
finca_00089,85.0,inactive,0.2508183697921162,0.07878338400911719,31.4,12
finca_00090,85.0,inactive,0.16615453132626476,0.04417654891195251,26.6,11
finca_00091,85.0,inactive,0.219264789892073,0.035790747720094225,16.3,12
finca_00092,85.0,inactive,0.1615362224472704,0.05785758322421461,35.8,12
finca_00093,85.0,inactive,0.13703149055908745,0.046628673388376916,34.0,12
finca_00094,102.5,potential,0.30052665348020335,0.07493463435804931,24.9,12
finca_00095,85.0,inactive,0.26055496983740595,0.048533547069075804,18.6,13
finca_00096,85.0,inactive,0.2791006493633424,0.04856371373778071,17.4,13
finca_00097,85.0,inactive,0.28700842595681714,0.04010977250636212,14.0,12
finca_00098,86.2,inactive,0.2643253171558498,0.1593304248059709,60.3,12
finca_00099,85.0,inactive,0.26597426783984546,0.09869101278228316,37.1,13
finca_00100,85.0,inactive,0.2310990554476628,0.058636447954278685,25.4,11
finca_00101,85.0,inactive,0.2418542158795904,0.019254559248926075,8.0,12
finca_00102,85.0,inactive,0.22505474774112938,0.012083262587860065,5.4,12
finca_00103,85.0,inactive,0.2579445692235348,0.027823165129628964,10.8,12
finca_00104,85.0,inactive,0.23189218310308,0.0213654722014476,9.2,12
finca_00105,85.0,inactive,0.21862498551973314,0.019508152423804194,8.9,12
finca_00106,85.0,inactive,0.217490484930364,0.018220520724542378,8.4,12
finca_00107,85.0,inactive,0.24419018784980576,0.020404302731323917,8.4,12
finca_00108,85.0,inactive,0.1856294390617168,0.03505164148028658,18.9,12
finca_00109,85.0,inactive,0.2815908824092811,0.0374345745544525,13.3,12
finca_00110,85.0,inactive,0.27406414882814056,0.04072914831380819,14.9,12
finca_00111,85.0,inactive,0.17721354399730105,0.08144816152367916,46.0,13
finca_00112,85.0,inactive,0.2555183212934308,0.13480618777831843,52.8,13
finca_00113,85.0,inactive,0.29991853964373816,0.03337168916576856,11.1,12
finca_00114,122.5,potential,0.31466133031652554,0.03492094115863938,11.1,12
finca_00115,85.0,inactive,0.29201242620467505,0.051493097858842825,17.6,12
finca_00116,85.0,inactive,0.2642654392229322,0.03554664340067237,13.5,12
finca_00117,85.0,inactive,0.251967090213328,0.03359369287993276,13.3,12
finca_00118,85.0,inactive,0.2861028373379725,0.04140930420576749,14.5,12
finca_00119,85.0,inactive,0.20958095671469804,0.037742672522996096,18.0,12
finca_00120,85.0,inactive,0.2554772587154129,0.029519668980769746,11.6,12
finca_00121,85.0,inactive,0.25530609991487413,0.027741646083534976,10.9,12
finca_00122,85.0,inactive,0.20529615879555493,0.07256207804913356,35.3,13
finca_00123,85.0,inactive,0.23552212572663161,0.06813464357763664,28.9,12
finca_00124,85.0,inactive,0.2566000408645452,0.08859119334628449,34.5,12
finca_00125,85.0,inactive,0.2433088185823537,0.04963089396640249,20.4,13
finca_00126,85.0,inactive,0.2807567376256053,0.0547063061804556,19.5,13
finca_00127,85.0,inactive,0.2462026785884678,0.05063827307799794,20.6,12
finca_00128,85.0,inactive,0.23637457412481483,0.0451063292832659,19.1,12
finca_00129,85.0,inactive,0.296402155699401,0.0484372580939515,16.3,12
finca_00130,85.0,inactive,0.19183408298061377,0.06438687819675992,33.6,12
finca_00131,85.0,inactive,0.20820600559808206,0.10177241489848607,48.9,12
finca_00132,85.0,inactive,0.23563184822014493,0.10030991321605275,42.6,12
finca_00133,85.0,inactive,0.29782899846171,0.11300080062382531,37.9,12
finca_00134,85.0,inactive,0.27688675259514073,0.06808602495854793,24.6,12
finca_00135,85.0,inactive,0.22268280258460324,0.04417929515515541,19.8,12
finca_00136,85.0,inactive,0.2515045105091693,0.029041731445600502,11.5,13
finca_00137,85.0,inactive,0.22146892696979503,0.02907238305675495,13.1,13
finca_00138,85.0,inactive,0.29118477929872727,0.044082236125912395,15.1,12
finca_00139,85.0,inactive,0.208892338585637,0.09803492870524268,46.9,12
finca_00140,85.0,inactive,0.1404070807786503,0.0638755659985871,45.5,12
finca_00141,85.0,inactive,0.27587388651350525,0.03824763418472546,13.9,12
finca_00142,100.9,potential,0.311657743319462,0.03815425632283924,12.2,12
finca_00143,85.0,inactive,0.2414113800887805,0.027409394172793804,11.4,13
finca_00144,85.0,inactive,0.20101948598957195,0.05560882379962763,27.7,13
finca_00145,85.0,inactive,0.2592027556039513,0.043131592988594626,16.6,12
finca_00146,85.0,inactive,0.29847710053996745,0.0928059754490425,31.1,12
finca_00147,85.0,inactive,0.2551897193000506,0.058884094718524745,23.1,12
